world_rank,university_name,Country,Region,Climate,Tuition_Fees (USD)[10076-49933],Average_Living_Cost (USD),Scholarship_Option(yes/no),Global_Ranking,Internship_Placement_Rate(%),Research_Opportunities,Teaching_Method,Faculty_Credentials (%),Degree_Recognition,Student_Satisfaction_Rate (%),Course_Flexibility,Dual_Degree_Programs,Transfer_Options,Living_Conditions,Average_Placement_(LPA)[5-19.94],Global_Certifications,Alumni_Network,Scholarship_Program,Scholarship_Amount(USD),Visa_Sponsorship,Visa_Sponsorship_Details,Language_Requirements,Aptitude_Test_Requirements,Top_Hiring_Industries,Fields_of Study Available,Year_Established,Program_Duration (Years),Student Facilities,Dining Options,Acceptance_Rate(%),Application_Deadlines,Interview Requirement,Student Support Services,Class Size,Safety Index (%),Currency Used,College Recognition and Awards,Early Decision,Waitlist Acceptance Rate (%),Open Electives Per Stream,Student Exchange Program,Local Attractions,Accessibility for Students with Disabilities,Quality of Mentors (Rating out of 10),Gap Year Support,Recommendation Letters Requirement,Embassy Support,Events,Smart Classroom Features,Collaborative Study Spaces,Retention Rate (%),Summer and Winter Internship
251-300,KoÃ§ University,Canada,Asia,Temperate,30741,21747,Yes,241,63.65472064,Yes,In-person,72,National,62,Medium,Yes,Yes,Medium,5.3,No,Inactive,No Scholarship,2346.03,No,Full Sponsorship,Spanish,GRE,Tech,Engineering,1805,5,Gym,Food Court,7,Jan-15,No,No,47,95,USD,Regional Award,Yes,4,2,Yes,Theaters,Good,7.117308623,Available,No,Medium,86,No,Yes,75.2996291,Yes
501-600,BabeÅŸ-Bolyai University,Germany,Oceania,Continental,33825,23206,Yes,241,86.95742757,Yes,Hybrid,91,Regional,95,High,Yes,Yes,Low,7.92,Yes,Active,Full Scholarship,18854.75,Yes,Partial Sponsorship,French,GRE,Tech,Arts,1935,4,Gym,Food Court,27,Apr-30,No,No,14,85,GBP,National Recognition,No,1,10,Yes,Mountain Passes,Excellent,6.596635335,Available,No,Low,100,No,Yes,85.25116932,Yes
601-800,Shanghai University,Australia,North America,Tropical,30830,22701,Yes,241,65.86400583,No,Hybrid,78,National,62,High,No,No,Low,19.37,No,Inactive,No Scholarship,29844.34,No,Full Sponsorship,French,None,Consulting,Arts,1872,3,Gym,Cafeteria,47,Jan-15,Yes,No,27,85,USD,Regional Award,Yes,4,6,Yes,Waterfalls,Good,8.430507762,Not Available,Yes,Medium,25,No,No,96.16263581,Yes
161,University of Miami,USA,Asia,Arid,37956,20326,No,242,93.73891551,Yes,In-person,99,Regional,63,High,Yes,Yes,High,15.1,Yes,Active,Partial Scholarship,21413.79,No,Partial Sponsorship,Spanish,None,Manufacturing,Science,1892,3,Labs,Cafeteria,28,Jan-15,Yes,Yes,17,90,EUR,National Recognition,No,7,7,No,Theme Parks,Good,6.5373013,Not Available,No,Medium,24,Yes,No,71.01281316,No
351-400,Victoria University of Wellington,UK,North America,Temperate,36298,23731,Yes,242,93.9281404,No,In-person,98,International,62,High,Yes,No,Medium,8.42,Yes,Active,No Scholarship,17608.76,Yes,Full Sponsorship,English,TOEFL,Healthcare,Business,1807,4,Library,Cafeteria,12,Apr-30,No,Yes,38,90,USD,National Recognition,Yes,2,7,Yes,Beaches,Average,9.988699864,Not Available,Yes,Medium,60,Yes,No,77.07232377,No
401-500,Western Sydney University,Australia,Asia,Arid,17301,23757,No,243,69.88912035,Yes,In-person,71,Regional,69,Medium,No,No,Low,6.1,No,Active,No Scholarship,24408.62,Yes,Partial Sponsorship,English,TOEFL,Finance,Law,1976,4,Gym,Cafeteria,22,Nov-01,Yes,Yes,22,85,EUR,Global Ranking Top 100,No,9,3,No,Wildlife Sanctuaries,Excellent,7.568597881,Not Available,No,Low,62,No,Yes,87.35390452,Yes
27,Kingâ€™s College London,Germany,Asia,Temperate,35888,15736,No,245,68.23134889,Yes,Online,77,National,86,Low,Yes,No,Medium,13.88,Yes,Inactive,Partial Scholarship,38061.3,No,Full Sponsorship,Spanish,TOEFL,Manufacturing,Science,1886,3,Library,Restaurants,50,Nov-01,No,Yes,46,95,USD,Global Ranking Top 100,No,0,6,Yes,Cultural Centers,Good,9.608018353,Available,Yes,Medium,14,Yes,Yes,96.33292355,Yes
401-500,Tokyo Metropolitan University,Canada,Europe,Temperate,37779,21398,Yes,247,57.29826426,No,Online,86,Regional,68,Low,No,Yes,Medium,18.11,Yes,Active,Full Scholarship,34312.48,No,Full Sponsorship,Spanish,TOEFL,Finance,Technology,1840,3,Sports Complex,Cafeteria,8,Apr-30,No,Yes,48,90,USD,Regional Award,No,1,4,Yes,Cultural Centers,Good,8.442932019,Not Available,Yes,Medium,99,No,No,97.48298634,Yes
301-350,University of Milan,Canada,Europe,Continental,42917,16941,No,249,56.87865859,Yes,In-person,93,International,67,Low,No,Yes,Medium,18.42,No,Active,No Scholarship,16894.01,No,Full Sponsorship,German,None,Tech,Arts,1805,5,Library,Cafeteria,27,Apr-30,Yes,Yes,10,90,EUR,National Recognition,No,3,6,Yes,River Walks,Good,8.465210299,Not Available,No,Low,98,Yes,Yes,93.62177592,Yes
301-350,Stellenbosch University,Germany,Asia,Tropical,45291,18900,Yes,249,84.64301296,Yes,Hybrid,88,National,99,Medium,No,No,High,9.69,Yes,Inactive,Full Scholarship,1378.26,No,No Sponsorship,French,GRE,Manufacturing,Arts,1801,3,Sports Complex,Cafeteria,22,Jan-15,Yes,No,41,95,USD,Regional Award,No,10,6,No,Palaces,Good,6.929840186,Not Available,Yes,High,57,Yes,Yes,89.0046106,Yes
401-500,UniversitÃ© du QuÃ©bec Ã  MontrÃ©al,USA,Asia,Arid,24706,24506,No,249,66.13334007,Yes,Hybrid,89,National,93,High,No,Yes,Medium,10.2,No,Inactive,Full Scholarship,41483.58,No,Full Sponsorship,French,None,Finance,Business,1950,3,Gym,Cafeteria,11,Nov-01,Yes,Yes,21,85,USD,Global Ranking Top 100,No,8,3,No,Islands,Average,9.353201912,Not Available,Yes,Medium,93,Yes,Yes,83.85901083,Yes
501-600,Tianjin University,Germany,Europe,Tropical,47397,15827,No,249,93.32767784,Yes,In-person,95,Regional,80,High,No,No,High,9.43,No,Active,Full Scholarship,37777.82,No,Partial Sponsorship,German,TOEFL,Manufacturing,Business,1922,4,Library,Cafeteria,26,Apr-30,Yes,No,49,85,USD,Regional Award,No,9,1,No,Castles,Average,7.584474247,Available,No,Low,72,Yes,Yes,96.75208964,Yes
401-500,University of Rovira i Virgili,UK,Europe,Tropical,35435,13401,No,250,77.07016318,Yes,Online,97,International,63,Medium,Yes,No,Low,15.91,No,Active,No Scholarship,18455.15,No,Partial Sponsorship,German,TOEFL,Consulting,Law,1858,3,Sports Complex,Cafeteria,9,Nov-01,Yes,Yes,16,90,GBP,National Recognition,Yes,10,10,No,Beaches and Coastal Areas,Good,9.211731492,Available,Yes,Medium,45,Yes,Yes,79.42799927,Yes
251-300,University of Newcastle,UK,Europe,Arid,40652,8288,No,251,51.18818444,Yes,In-person,79,International,62,Low,Yes,No,Medium,5.64,No,Inactive,Full Scholarship,43020.68,Yes,Full Sponsorship,English,IELTS,Consulting,Engineering,1947,5,Library,Food Court,12,Jan-15,Yes,No,20,85,USD,National Recognition,No,6,8,Yes,Wineries,Good,7.86178037,Available,No,High,30,No,Yes,84.70919604,No
601-800,University of Bucharest,UK,Asia,Temperate,26253,12699,No,251,51.54410429,No,Online,86,International,91,Low,No,Yes,High,8.15,Yes,Active,Partial Scholarship,23994.77,Yes,Partial Sponsorship,English,None,Manufacturing,Law,1866,4,Sports Complex,Cafeteria,21,Apr-30,Yes,Yes,33,85,USD,National Recognition,No,7,3,No,Theaters,Excellent,8.788758787,Not Available,Yes,Medium,34,Yes,No,74.23278559,Yes
601-800,"California State University, Long Beach",Australia,North America,Continental,39402,18617,No,251,78.41171154,Yes,In-person,93,National,74,High,No,Yes,Low,17.77,Yes,Inactive,Partial Scholarship,35814.6,No,Full Sponsorship,French,TOEFL,Healthcare,Engineering,1820,4,Labs,Cafeteria,31,Nov-01,Yes,Yes,50,85,EUR,Regional Award,No,8,6,Yes,Zoos,Average,6.20440851,Available,Yes,High,27,Yes,Yes,98.73147257,Yes
251-300,Queenâ€™s University,UK,Oceania,Tropical,34629,21572,No,253,61.66886137,Yes,Online,73,Regional,92,High,Yes,No,Low,9.03,No,Active,Partial Scholarship,19720.31,No,Partial Sponsorship,German,None,Healthcare,Law,1940,4,Library,Restaurants,28,Nov-01,Yes,Yes,50,80,USD,Regional Award,Yes,8,9,Yes,Nature Reserves,Good,8.035385016,Not Available,Yes,Medium,10,No,Yes,78.42879068,Yes
401-500,Kyung Hee University,UK,Europe,Arid,45030,10598,Yes,253,54.47475364,No,In-person,97,National,68,Medium,Yes,Yes,High,16.92,Yes,Active,Full Scholarship,48227.3,No,No Sponsorship,English,TOEFL,Consulting,Engineering,1907,5,Gym,Cafeteria,15,Jan-15,No,Yes,22,95,USD,Global Ranking Top 100,No,9,4,Yes,Parks and Green Spaces,Excellent,9.167215546,Not Available,No,Medium,65,No,Yes,90.23039598,No
251-300,UmeÃ¥ University,USA,North America,Tropical,44831,10821,Yes,254,77.23731373,No,Online,82,Regional,97,High,Yes,Yes,Medium,19.09,Yes,Active,No Scholarship,13183.71,Yes,Full Sponsorship,English,GRE,Consulting,Technology,1932,5,Library,Cafeteria,31,Jan-15,Yes,Yes,44,80,GBP,National Recognition,No,1,4,Yes,Coastal Walks,Good,6.623922532,Available,No,Medium,18,Yes,Yes,84.22300199,Yes
601-800,University of Castilla-La Mancha,Australia,Europe,Temperate,16116,16357,Yes,254,89.6874475,No,Online,85,Regional,92,Low,Yes,Yes,Low,9.5,No,Inactive,No Scholarship,34619.21,Yes,Partial Sponsorship,Spanish,IELTS,Finance,Engineering,1853,4,Sports Complex,Cafeteria,7,Nov-01,No,Yes,16,95,USD,National Recognition,Yes,3,5,No,Archaeological Sites,Excellent,7.300243121,Not Available,No,High,80,Yes,No,95.1192782,No
301-350,Aberystwyth University,Canada,North America,Continental,16471,14776,Yes,255,75.49124421,Yes,In-person,90,National,77,Low,No,No,High,12.31,No,Active,No Scholarship,35576.47,Yes,Full Sponsorship,Mandarin,None,Manufacturing,Engineering,1804,5,Labs,Cafeteria,7,Apr-30,Yes,No,14,80,USD,Global Ranking Top 100,Yes,4,6,No,Museums,Excellent,8.431841866,Not Available,No,Medium,44,No,No,71.90467528,Yes
11,Johns Hopkins University,Germany,Asia,Temperate,19936,11223,Yes,256,85.21585647,Yes,Hybrid,79,National,79,Medium,No,Yes,High,16.85,Yes,Inactive,No Scholarship,48362.03,No,No Sponsorship,German,None,Healthcare,Engineering,1871,4,Labs,Restaurants,17,Jan-15,Yes,Yes,29,95,GBP,National Recognition,Yes,2,2,Yes,Ski Resorts,Good,7.858374946,Available,No,Low,31,Yes,Yes,77.94212653,Yes
501-600,Quaid-i-azam University,USA,Asia,Arid,11914,22291,No,256,74.16613113,No,In-person,74,Regional,61,Medium,No,No,Low,18.35,Yes,Active,No Scholarship,40385.17,Yes,Partial Sponsorship,English,None,Manufacturing,Science,2014,3,Sports Complex,Cafeteria,43,Nov-01,No,No,10,80,USD,National Recognition,No,7,4,Yes,Opera Houses,Good,9.605728675,Available,Yes,Medium,14,Yes,No,78.5212718,Yes
601-800,Feng Chia University,Germany,Oceania,Tropical,28056,15441,No,256,76.05381956,Yes,In-person,77,Regional,80,Medium,Yes,Yes,Low,18.62,No,Active,Full Scholarship,23237.5,No,No Sponsorship,German,TOEFL,Consulting,Engineering,1877,4,Gym,Cafeteria,33,Jan-15,No,Yes,35,90,USD,Global Ranking Top 100,No,8,6,No,Historic Buildings,Good,8.668759062,Not Available,No,High,82,Yes,Yes,71.51260245,No
401-500,Tokyo Medical and Dental University (TMDU),Germany,Europe,Continental,28145,19114,No,257,85.60386446,Yes,Hybrid,75,International,94,Medium,Yes,No,Low,16.13,Yes,Active,Partial Scholarship,15389.56,Yes,No Sponsorship,German,IELTS,Manufacturing,Business,1866,3,Sports Complex,Restaurants,39,Apr-30,No,Yes,23,80,USD,Global Ranking Top 100,Yes,5,8,Yes,Lakesides,Good,9.961195574,Available,Yes,Medium,57,Yes,Yes,94.4938705,No
87,Vanderbilt University,Australia,Oceania,Tropical,24450,19321,Yes,258,53.81909429,Yes,Online,92,International,77,High,Yes,Yes,Low,14.96,Yes,Inactive,Partial Scholarship,32754.79,Yes,Partial Sponsorship,Spanish,IELTS,Manufacturing,Arts,1840,3,Library,Cafeteria,17,Jan-15,Yes,No,44,85,EUR,National Recognition,Yes,9,8,Yes,Cliffs,Good,6.254583191,Not Available,Yes,High,75,Yes,Yes,72.53927438,No
601-800,Juntendo University,Germany,Asia,Temperate,31378,16946,Yes,259,80.66702246,Yes,Hybrid,96,Regional,100,Low,Yes,No,Low,13.17,Yes,Active,Partial Scholarship,15326.86,No,No Sponsorship,German,None,Tech,Engineering,1880,5,Sports Complex,Cafeteria,11,Nov-01,No,No,21,95,USD,Regional Award,Yes,10,1,No,Festivals,Excellent,7.975739435,Not Available,No,High,43,No,Yes,73.11741497,No
201-250,University at Buffalo,Australia,Oceania,Arid,31285,8094,Yes,260,91.38731419,Yes,In-person,98,International,81,High,Yes,No,Low,19.27,Yes,Inactive,Partial Scholarship,8524.47,No,Full Sponsorship,Spanish,GRE,Finance,Business,1994,4,Labs,Food Court,29,Jan-15,No,Yes,17,90,USD,Regional Award,No,3,7,No,Theaters,Excellent,8.878415067,Available,Yes,Low,27,Yes,Yes,86.77299371,Yes
501-600,Panjab University,Australia,Europe,Continental,31454,11960,Yes,260,77.48890516,No,In-person,90,Regional,60,Medium,Yes,No,High,6.74,Yes,Inactive,Full Scholarship,34224.95,No,Full Sponsorship,French,IELTS,Manufacturing,Engineering,1982,5,Library,Food Court,27,Nov-01,Yes,No,44,85,EUR,National Recognition,Yes,5,3,No,Vineyards,Good,8.333882213,Not Available,No,Medium,95,Yes,Yes,73.48144101,No
601-800,China University of Petroleum (Beijing),USA,Europe,Continental,35993,14842,Yes,260,52.95724332,Yes,Hybrid,70,Regional,84,Medium,Yes,Yes,Low,16.27,No,Inactive,Partial Scholarship,23487.64,Yes,Partial Sponsorship,English,None,Tech,Science,1976,5,Library,Food Court,11,Jan-15,No,Yes,24,85,USD,Regional Award,Yes,1,2,Yes,Coastal Walks,Average,9.620822462,Not Available,No,Medium,54,No,No,83.94426148,No
601-800,Sheffield Hallam University,UK,Oceania,Arid,31057,16859,No,260,56.48707006,No,Online,75,International,70,High,Yes,No,High,16.29,Yes,Inactive,No Scholarship,22084.51,No,Partial Sponsorship,German,None,Tech,Arts,1919,3,Gym,Cafeteria,27,Jan-15,Yes,No,42,85,EUR,Global Ranking Top 100,Yes,6,10,No,Hiking Trails,Average,7.851601321,Available,No,Medium,79,No,Yes,70.80188165,Yes
53,Technical University of Munich,Canada,Europe,Tropical,11971,10211,Yes,261,95.94600637,No,In-person,76,Regional,61,High,Yes,Yes,High,9.26,Yes,Active,Full Scholarship,25730.29,No,No Sponsorship,French,GRE,Tech,Engineering,1896,3,Gym,Cafeteria,23,Jan-15,No,No,17,95,EUR,Global Ranking Top 100,Yes,2,4,No,Library,Good,6.732409249,Not Available,Yes,Medium,61,Yes,Yes,75.65472116,Yes
201-250,University of Victoria,Australia,Europe,Arid,45104,20178,Yes,261,70.25238985,No,In-person,86,National,92,High,No,No,High,8.76,Yes,Active,Partial Scholarship,8347.75,No,Full Sponsorship,French,None,Tech,Engineering,1925,5,Sports Complex,Cafeteria,28,Nov-01,Yes,No,25,95,USD,Global Ranking Top 100,No,3,9,No,Cliffs,Average,9.718670453,Not Available,No,High,28,No,Yes,78.04371542,No
201-250,Hong Kong Polytechnic University,UK,North America,Continental,25133,17843,No,263,97.19760918,Yes,In-person,81,Regional,85,High,Yes,No,Low,7.41,No,Active,Partial Scholarship,46086.8,No,Full Sponsorship,English,IELTS,Healthcare,Technology,1824,3,Gym,Cafeteria,43,Nov-01,Yes,Yes,44,90,EUR,Global Ranking Top 100,No,3,3,No,Wildlife Sanctuaries,Excellent,6.34912418,Available,Yes,Low,27,No,No,87.36425613,Yes
601-800,Auckland University of Technology,Canada,Europe,Arid,26363,18127,Yes,263,67.81576485,No,Online,97,International,70,Medium,Yes,No,Medium,12.67,Yes,Active,Partial Scholarship,11815.47,Yes,Partial Sponsorship,Spanish,None,Finance,Law,1996,5,Library,Restaurants,41,Nov-01,No,No,42,85,GBP,Global Ranking Top 100,No,7,6,Yes,Historic Buildings,Average,7.538213528,Available,No,High,88,Yes,No,86.13039766,Yes
123,University of Erlangen-Nuremberg,USA,Oceania,Tropical,11746,19345,No,266,66.40748309,No,Online,88,National,62,Low,Yes,No,High,17.56,No,Active,No Scholarship,17881.06,Yes,Full Sponsorship,French,GRE,Healthcare,Law,2005,3,Labs,Food Court,5,Jan-15,Yes,Yes,18,80,USD,Global Ranking Top 100,Yes,3,3,No,Historical Sites,Excellent,8.242883959,Not Available,Yes,Low,77,Yes,Yes,95.96919026,No
401-500,Polytechnic University of Catalonia,Canada,Asia,Temperate,32346,12210,No,266,97.31466079,Yes,In-person,89,Regional,60,Medium,Yes,Yes,High,6.16,No,Active,No Scholarship,37981.57,No,Full Sponsorship,Mandarin,GRE,Manufacturing,Business,1853,4,Labs,Food Court,32,Nov-01,No,No,12,90,USD,Regional Award,No,9,2,Yes,Beaches,Good,8.865344636,Available,Yes,Low,68,Yes,Yes,85.59712028,Yes
176,Eindhoven University of Technology,UK,Asia,Continental,39217,10123,Yes,267,74.51320881,Yes,Hybrid,77,National,78,Medium,Yes,No,High,9.12,No,Inactive,Partial Scholarship,40176.53,Yes,Full Sponsorship,Spanish,None,Tech,Engineering,1879,4,Library,Cafeteria,32,Nov-01,No,Yes,39,95,USD,National Recognition,No,9,3,No,Lakesides,Good,6.325055288,Not Available,No,Medium,100,Yes,No,72.2679227,No
601-800,Sejong University,Australia,Asia,Tropical,38835,11592,No,267,82.61866368,No,Hybrid,72,National,90,High,No,Yes,Low,13.7,Yes,Active,No Scholarship,49738.6,No,No Sponsorship,English,GRE,Manufacturing,Law,1813,4,Sports Complex,Cafeteria,6,Jan-15,No,Yes,36,90,GBP,National Recognition,No,8,5,No,Archaeological Sites,Average,8.695297868,Not Available,No,Medium,91,No,Yes,95.26808055,Yes
251-300,Tulane University,UK,Asia,Tropical,30227,20782,Yes,268,61.51637533,No,In-person,85,National,78,High,Yes,Yes,High,11.1,Yes,Active,Full Scholarship,9155.57,Yes,Partial Sponsorship,Spanish,IELTS,Manufacturing,Business,1978,5,Gym,Cafeteria,23,Nov-01,No,Yes,14,85,USD,National Recognition,Yes,9,9,No,Piers and Harbors,Good,8.487667667,Available,No,High,94,Yes,No,97.04322671,No
501-600,Keio University,UK,North America,Continental,11884,12739,Yes,269,80.087567,Yes,Hybrid,86,Regional,83,High,No,No,Low,14.82,Yes,Inactive,No Scholarship,41889.08,Yes,No Sponsorship,Mandarin,TOEFL,Healthcare,Science,1901,5,Sports Complex,Cafeteria,23,Apr-30,Yes,No,47,85,USD,National Recognition,Yes,5,8,No,Beaches,Excellent,7.453213686,Not Available,Yes,High,53,Yes,Yes,77.19652527,Yes
501-600,Paris Dauphine University,Canada,Europe,Temperate,20440,10922,Yes,269,54.44877948,Yes,Hybrid,70,Regional,63,Medium,No,No,High,8.55,Yes,Active,No Scholarship,38736.1,No,No Sponsorship,French,IELTS,Manufacturing,Science,1806,5,Library,Food Court,35,Apr-30,No,Yes,23,85,EUR,Regional Award,Yes,8,4,Yes,Piers and Harbors,Good,9.666016439,Not Available,No,Low,77,No,No,94.46142683,No
164,Yeshiva University,USA,North America,Tropical,45741,17586,Yes,270,97.47676656,Yes,In-person,76,International,89,Low,No,Yes,Low,7.72,Yes,Active,No Scholarship,11856.96,Yes,Partial Sponsorship,Mandarin,IELTS,Finance,Arts,1868,4,Library,Food Court,50,Nov-01,No,Yes,20,80,USD,National Recognition,Yes,9,5,No,Parks and Green Spaces,Excellent,9.974044902,Not Available,Yes,Medium,24,No,Yes,71.15104656,No
201-250,University of Stuttgart,Australia,Oceania,Arid,30159,23697,No,271,73.54884859,No,In-person,88,International,94,Medium,No,Yes,Low,11.74,Yes,Inactive,Full Scholarship,6999.89,No,Partial Sponsorship,Mandarin,TOEFL,Healthcare,Arts,1927,4,Labs,Cafeteria,27,Apr-30,No,No,38,85,EUR,Global Ranking Top 100,No,6,10,No,Parks and Green Spaces,Excellent,6.716121737,Available,No,High,61,No,Yes,75.47094787,No
201-250,Wake Forest University,Germany,Oceania,Arid,29411,9755,No,271,50.84807792,No,Hybrid,94,International,63,Medium,No,No,High,13.06,Yes,Active,Partial Scholarship,9749.08,No,Full Sponsorship,French,TOEFL,Manufacturing,Arts,2019,5,Sports Complex,Cafeteria,45,Nov-01,No,No,21,90,USD,Global Ranking Top 100,Yes,0,7,No,Beaches and Coastal Areas,Average,6.045778469,Not Available,Yes,High,52,No,Yes,71.56671229,Yes
90,Emory University,Australia,Europe,Continental,27371,19101,No,272,90.85387659,Yes,In-person,74,International,60,Low,No,Yes,High,16.82,No,Active,Partial Scholarship,41528.88,Yes,Partial Sponsorship,German,GRE,Healthcare,Science,1899,4,Labs,Food Court,21,Nov-01,No,Yes,15,95,GBP,Global Ranking Top 100,Yes,1,3,Yes,Art Galleries,Good,7.053548046,Available,Yes,High,64,Yes,No,77.2936894,No
251-300,Iowa State University,UK,Europe,Arid,15957,24363,Yes,273,68.1839185,Yes,Online,86,Regional,92,Medium,Yes,Yes,High,7.65,No,Inactive,Full Scholarship,13594.41,No,Full Sponsorship,English,None,Manufacturing,Law,1896,5,Library,Cafeteria,28,Apr-30,No,Yes,46,85,USD,Global Ranking Top 100,Yes,0,3,No,Historic Bridges,Average,8.545310999,Available,No,Medium,36,No,Yes,90.30932145,Yes
351-400,University of South Australia,Australia,Europe,Tropical,34375,8390,No,273,85.34371566,Yes,Hybrid,87,International,89,High,Yes,No,Low,7.19,Yes,Active,Partial Scholarship,22508.96,Yes,Full Sponsorship,English,IELTS,Finance,Arts,1838,3,Library,Restaurants,23,Jan-15,Yes,No,44,95,GBP,Regional Award,No,4,4,Yes,Natural Springs,Average,8.723785008,Not Available,No,Low,40,No,No,92.58808482,No
401-500,University of Ulsan,Australia,North America,Tropical,47443,11408,Yes,274,64.98796933,No,In-person,80,International,96,Low,No,No,Low,15.86,No,Inactive,Full Scholarship,38847.61,No,Full Sponsorship,Spanish,IELTS,Manufacturing,Technology,1854,4,Sports Complex,Food Court,39,Jan-15,Yes,Yes,29,80,EUR,Global Ranking Top 100,Yes,10,1,Yes,Cliffs,Average,9.539626784,Not Available,No,Low,26,No,Yes,91.01790905,No
85,Seoul National University,UK,Asia,Tropical,35997,19663,No,275,94.91542901,Yes,Online,84,International,82,Low,No,Yes,Medium,15.16,No,Inactive,Full Scholarship,38806.58,Yes,Partial Sponsorship,German,None,Manufacturing,Science,1955,5,Sports Complex,Food Court,41,Jan-15,No,No,27,80,GBP,Regional Award,Yes,3,2,Yes,Waterfront Promenades,Good,9.592230687,Available,Yes,Medium,48,Yes,Yes,88.97499144,Yes
179,University of Waterloo,UK,Oceania,Temperate,19379,17963,No,276,88.08553386,No,In-person,72,National,68,Medium,Yes,Yes,Medium,18.82,No,Inactive,No Scholarship,4997.01,Yes,Partial Sponsorship,Mandarin,GRE,Consulting,Law,1985,3,Sports Complex,Cafeteria,12,Nov-01,No,Yes,29,95,USD,Regional Award,Yes,2,4,Yes,Library,Average,7.992031388,Available,No,Low,37,Yes,No,80.56515382,No
301-350,Leibniz University of Hanover,Germany,North America,Continental,37226,12968,No,276,84.70243933,Yes,Hybrid,75,International,97,High,No,Yes,Medium,7.4,Yes,Inactive,Partial Scholarship,11642.05,Yes,Partial Sponsorship,Mandarin,GRE,Finance,Engineering,1901,3,Gym,Food Court,8,Jan-15,No,Yes,23,80,USD,Regional Award,Yes,0,9,Yes,Waterfalls,Good,8.206438348,Not Available,No,High,69,No,No,82.75006637,Yes
601-800,Vilnius University,Australia,Europe,Continental,33095,19472,Yes,276,63.9904929,Yes,Hybrid,90,International,100,High,Yes,Yes,High,5.18,Yes,Inactive,No Scholarship,19634.63,Yes,Full Sponsorship,German,None,Finance,Business,1815,5,Sports Complex,Cafeteria,47,Jan-15,No,No,34,85,EUR,Global Ranking Top 100,No,2,2,Yes,Libraries,Average,9.941733795,Not Available,Yes,Low,34,Yes,No,73.28015413,No
401-500,Heriot-Watt University,Canada,Oceania,Temperate,23035,15531,No,277,79.09099483,Yes,In-person,77,International,96,High,Yes,No,Medium,13.99,No,Inactive,Partial Scholarship,17954.93,Yes,No Sponsorship,Spanish,None,Healthcare,Business,1872,3,Library,Food Court,20,Nov-01,Yes,No,29,80,USD,Regional Award,Yes,6,3,No,Flea Markets,Excellent,8.404267558,Available,Yes,Medium,88,Yes,No,93.43972046,No
401-500,Concordia University,UK,Asia,Tropical,24424,9953,Yes,278,64.23115743,Yes,Online,97,Regional,67,Low,Yes,No,High,18.25,No,Active,Partial Scholarship,43145.48,Yes,Partial Sponsorship,Mandarin,TOEFL,Consulting,Science,1825,3,Library,Restaurants,27,Jan-15,Yes,Yes,22,95,USD,Regional Award,No,10,4,Yes,Food Markets,Excellent,6.137375088,Not Available,Yes,High,87,Yes,No,81.18661024,No
601-800,Qatar University,Germany,Oceania,Tropical,29920,17324,Yes,278,61.21796344,No,Online,85,National,78,Low,Yes,Yes,Low,15.48,No,Inactive,No Scholarship,1575.66,Yes,No Sponsorship,English,IELTS,Manufacturing,Business,1871,3,Labs,Cafeteria,32,Nov-01,No,Yes,30,95,USD,Regional Award,Yes,5,7,No,Ski Resorts,Good,6.152156285,Not Available,No,Low,22,Yes,Yes,74.46572181,No
18,Cornell University,USA,Europe,Continental,29066,12826,No,279,83.97377741,No,In-person,85,International,88,Medium,Yes,Yes,High,6.56,Yes,Active,Partial Scholarship,11017.99,Yes,Partial Sponsorship,German,TOEFL,Consulting,Arts,1864,4,Gym,Cafeteria,30,Apr-30,No,No,41,85,EUR,National Recognition,No,5,2,Yes,Scenic Views,Average,8.814348254,Not Available,No,Medium,58,Yes,No,94.47011667,Yes
401-500,RMIT University,USA,Oceania,Continental,24845,9955,No,279,98.63292305,No,Online,93,National,95,Medium,Yes,No,High,13.4,No,Active,Full Scholarship,35426.96,No,Full Sponsorship,French,IELTS,Tech,Engineering,1895,3,Labs,Cafeteria,40,Jan-15,No,Yes,11,85,EUR,Global Ranking Top 100,No,7,3,No,Art Galleries,Excellent,7.082830373,Not Available,Yes,Medium,63,Yes,Yes,70.6369603,Yes
601-800,Tottori University,Germany,Europe,Arid,18568,10261,No,279,73.16332789,Yes,In-person,73,National,60,Low,Yes,No,Low,7.87,Yes,Active,Full Scholarship,41250.55,No,No Sponsorship,Spanish,GRE,Consulting,Engineering,1970,5,Labs,Restaurants,36,Jan-15,Yes,No,34,80,USD,Global Ranking Top 100,No,7,10,No,Mountain Passes,Average,9.440280929,Available,No,High,82,Yes,No,90.47190424,No
501-600,Monterrey Institute of Technology and Higher Education,Australia,Europe,Continental,40345,14176,No,280,72.4471052,Yes,Hybrid,72,Regional,66,Medium,No,Yes,Low,16.11,Yes,Inactive,Partial Scholarship,16492.77,No,No Sponsorship,Mandarin,TOEFL,Manufacturing,Engineering,1927,3,Library,Restaurants,18,Jan-15,Yes,No,40,90,USD,Regional Award,No,3,1,No,Amusement Parks,Excellent,9.069768392,Not Available,Yes,Low,40,No,Yes,78.53500677,Yes
